Month,Vessel_Type,Route,Port_Feasibility,Cargo_tonnes,Distance_NM,Laden_Speed_knots,Ballast_Speed_knots,Laden_Fuel_tpd,Ballast_Fuel_tpd,Laden_Days,Ballast_Days,Port_Days,Total_Voyage_Days,Laden_Fuel_tonnes,Ballast_Fuel_tonnes,Total_Fuel_tonnes,VLSFO_USD_per_tonne,Bunker_Status,Bunker_Cost_USD,Commission_Percent,Bunker_Cost_USD_per_Cargo_tonne,BreakEven_Freight_USD_per_mt,Port_Cost_USD,Other_Voyage_Cost_USD,Freight_Rate_USD_per_mt,Freight_Revenue_USD,Net_Voyage_Earnings_USD,TCE_USD_day,Status
2025-04-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,530.9090909090909,AVAILABLE,600539.5545214046,5.0,7.506744431517557,7.901836243702691,,,,,,,PARTIALLY CALCULABLE
2025-05-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,529.4318181818181,AVAILABLE,598868.5326445256,5.0,7.48585665805657,7.8798491137437585,,,,,,,PARTIALLY CALCULABLE
2025-06-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,554.6764705882352,AVAILABLE,627424.1037767469,5.0,7.842801297209336,8.255580312851933,,,,,,,PARTIALLY CALCULABLE
2025-07-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,552.8260869565217,AVAILABLE,625331.0362800496,5.0,7.81663795350062,8.228039951053285,,,,,,,PARTIALLY CALCULABLE
2025-08-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,534.4047619047619,AVAILABLE,604493.6942007592,5.0,7.55617117750949,7.9538643973784104,,,,,,,PARTIALLY CALCULABLE
2025-09-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,523.1190476190476,AVAILABLE,591727.821576515,5.0,7.396597769706437,7.785892389164671,,,,,,,PARTIALLY CALCULABLE
2025-10-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,,UNAVAILABLE,,5.0,,,,,,,,,NOT CALCULABLE
2025-11-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,486.27777777777777,AVAILABLE,550054.6987060921,5.0,6.875683733826151,7.237561825080159,,,,,,,PARTIALLY CALCULABLE
2025-12-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,464.2173913043478,AVAILABLE,525101.0203981195,5.0,6.563762754976493,6.909223952606835,,,,,,,PARTIALLY CALCULABLE
2026-01-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,475.8181818181818,AVAILABLE,538223.2925282589,5.0,6.727791156603236,7.081885428003406,,,,,,,PARTIALLY CALCULABLE
2026-02-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,518.375,AVAILABLE,586361.576596809,5.0,7.329519707460112,7.715283902589592,,,,,,,PARTIALLY CALCULABLE
2026-03-01,Panamax,Gladstone -> Dhamra,PASS,80000.0,5827.27,13.5,14.0,33.0,31.0,17.985401234567902,17.34306547619048,1.5,36.82846671075838,593.5182407407408,537.6350297619048,1131.1532705026457,911.25,AVAILABLE,1030763.4177455358,5.0,12.884542721819198,13.562676549283367,,,,,,,PARTIALLY CALCULABLE
