Month_Date,"VLSFO Fuel Oil, IMO 2020 Grade, 0.5%",Marine Gas Oil,"Intermdiate Fuel Oil, 180cSt","Intermdiate Fuel Oil, 380cSt"
2019-01-01,,639.8333333333334,434.6666666666667,406.0
2019-02-01,,658.1,454.4,427.45
2019-03-01,,669.325,467.875,438.625
2019-04-01,,682.7954545454545,470.84090909090907,445.45454545454544
2019-05-01,,684.4347826086956,463.0652173913044,431.5
2019-06-01,,637.125,429.175,398.775
2019-07-01,,652.6304347826087,465.7826086956522,436.5217391304348
2019-08-01,,630.9318181818181,412.8181818181818,382.8863636363636
2019-09-01,,653.8333333333334,471.9761904761905,434.07142857142856
2019-10-01,551.0526315789474,645.1304347826087,412.2173913043478,380.82608695652175
2019-11-01,560.9285714285714,646.0952380952381,376.5,344.5952380952381
2019-12-01,614.3181818181819,671.7045454545455,384.40909090909093,349.0
2020-01-01,652.0869565217391,681.1739130434783,370.22727272727275,368.54347826086956
2020-02-01,533.675,586.05,336.0,341.975
2020-03-01,351.5681818181818,441.84090909090907,299.75,260.20454545454544
2020-04-01,252.11363636363637,325.52272727272725,,192.3409090909091
2020-05-01,259.54761904761904,315.4047619047619,,197.5
2020-06-01,318.84090909090907,381.09090909090907,,255.25
2020-07-01,341.6304347826087,412.6304347826087,,280.10869565217394
2020-08-01,350.8809523809524,418.2142857142857,,295.73809523809524
2020-09-01,334.02272727272725,392.29545454545456,,283.04545454545456
2020-10-01,337.1136363636364,393.47727272727275,,284.8181818181818
2020-11-01,357.54761904761904,408.8809523809524,,299.45238095238096
2020-12-01,406.6521739130435,461.6521739130435,,327.95652173913044
2021-01-01,446.9047619047619,496.5238095238095,,353.2857142857143
2021-02-01,495.55,546.3,,383.7
2021-03-01,517.195652173913,576.4130434782609,,405.10869565217394
2021-04-01,503.95454545454544,565.5909090909091,,392.40909090909093
2021-05-01,517.6190476190476,590.7380952380952,,405.35714285714283
2021-06-01,545.0909090909091,623.6136363636364,,426.0681818181818
2021-07-01,554.5454545454545,637.6363636363636,,438.6818181818182
2021-08-01,535.6590909090909,619.8409090909091,,435.59090909090907
2021-09-01,559.9090909090909,651.8409090909091,,464.1363636363636
2021-10-01,620.7142857142857,739.2142857142857,,519.8571428571429
2021-11-01,621.8863636363636,739.3409090909091,,494.5
2021-12-01,604.4347826086956,700.7826086956521,,467.54347826086956
2022-01-01,670.452380952381,788.3333333333334,,523.2142857142857
2022-02-01,739.75,871.475,,569.75
2022-03-01,927.1304347826087,1123.5869565217392,,695.6521739130435
2022-04-01,909.0714285714286,1214.095238095238,,724.1190476190476
2022-05-01,948.6136363636364,1286.8636363636363,,742.3181818181819
2022-06-01,1086.9772727272727,1398.5,,717.5681818181819
2022-07-01,976.0238095238095,1259.595238095238,,606.2380952380952
2022-08-01,821.195652173913,1165.8260869565217,,573.195652173913
2022-09-01,743.8181818181819,1121.159090909091,817.5,492.75
2022-10-01,751.0714285714286,1171.404761904762,,480.1666666666667
2022-11-01,712.8181818181819,1101.5227272727273,,484.20454545454544
2022-12-01,646.8863636363636,996.8181818181819,,451.72727272727275
2023-01-01,664.1818181818181,1025.5454545454545,,455.84090909090907
2023-02-01,665.225,954.3,,453.1
2023-03-01,619.8695652173913,893.4565217391304,,469.2173913043478
2023-04-01,628.025,863.95,,514.875
2023-05-01,585.3913043478261,778.1086956521739,,485.17391304347825
2023-06-01,595.5454545454545,776.0681818181819,,489.3181818181818
2023-07-01,603.0714285714286,819.3095238095239,,521.5952380952381
2023-08-01,654.0217391304348,947.5652173913044,,579.2173913043479
2023-09-01,674.9285714285714,1001.3333333333334,,590.9761904761905
2023-10-01,672.0909090909091,958.0909090909091,,551.0681818181819
2023-11-01,667.5454545454545,899.5909090909091,,523.9090909090909
2023-12-01,632.1428571428571,853.3571428571429,,507.5952380952381
2024-01-01,636.6086956521739,854.0217391304348,,500.1304347826087
2024-02-01,658.2142857142857,883.1666666666666,,504.0238095238095
2024-03-01,664.6666666666666,882.8571428571429,,520.2857142857143
2024-04-01,668.75,879.7954545454545,,543.5909090909091
2024-05-01,635.7173913043479,819.7391304347826,,535.695652173913
2024-06-01,619.375,808.9,,534.075
2024-07-01,634.9347826086956,830.3260869565217,,540.7391304347826
2024-08-01,617.5909090909091,783.4545454545455,,510.79545454545456
2024-09-01,600.8571428571429,738.7142857142857,,482.6666666666667
2024-10-01,605.6739130434783,749.3695652173913,,511.32608695652175
2024-11-01,588.5,756.9047619047619,,492.7857142857143
2024-12-01,575.6818181818181,754.8409090909091,,500.0681818181818
2025-01-01,604.4565217391304,789.2826086956521,,511.5869565217391
2025-02-01,595.225,783.15,,513.1
2025-03-01,555.2857142857143,750.6190476190476,,493.5952380952381
2025-04-01,530.9090909090909,718.3863636363636,,465.4318181818182
2025-05-01,529.4318181818181,706.5227272727273,,458.6363636363636
2025-06-01,554.6764705882352,750.8529411764706,,479.3529411764706
2025-07-01,552.8260869565217,773.0217391304348,,466.4782608695652
2025-08-01,534.4047619047619,748.6428571428571,,453.1904761904762
2025-09-01,523.1190476190476,762.6190476190476,,443.73809523809524
2025-11-01,486.27777777777777,789.6666666666666,,417.77777777777777
2025-12-01,464.2173913043478,730.7608695652174,,391.4347826086956
2026-01-01,475.8181818181818,730.2954545454545,,406.6818181818182
2026-02-01,518.375,774.925,,448.2
2026-03-01,911.25,1412.8863636363637,,781.1363636363636
2026-04-01,889.7045454545455,1606.159090909091,,746.7272727272727
2026-05-01,899.9047619047619,1404.3095238095239,,760.6904761904761
2026-06-01,781.8863636363636,1203.1363636363637,,634.8181818181819
2026-07-01,760.1521739130435,1240.9782608695652,,594.8913043478261
2026-08-01,811.3888888888889,1353.2222222222222,,630.75
