Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Average_DWT,Maximum_DWT
2018S01,S1   2018,360,Indonesia,7,Liquefied petroleum gas carriers,10727.0,58814.0
2018S01,S1   2018,360,Indonesia,8,Liquefied natural gas carriers,69076.0,96703.0
2018S01,S1   2018,360,Indonesia,5,Dry bulk carriers,46211.0,209249.0
2018S01,S1   2018,360,Indonesia,4,Dry breakbulk carriers,6384.0,72562.0
2018S01,S1   2018,360,Indonesia,6,Roll-on/ roll-off ships,3440.0,21385.0
2018S01,S1   2018,360,Indonesia,3,Container ships,,
2018S01,S1   2018,360,Indonesia,1,Passenger ships,,
2018S01,S1   2018,380,Italy,0,All ships,19068.0,319300.0
2018S01,S1   2018,380,Italy,2,Liquid bulk carriers,30240.0,319300.0
2018S01,S1   2018,380,Italy,7,Liquefied petroleum gas carriers,10011.0,28500.0
2018S01,S1   2018,380,Italy,5,Dry bulk carriers,42043.0,313049.0
2018S01,S1   2018,380,Italy,4,Dry breakbulk carriers,8567.0,81279.0
2018S01,S1   2018,380,Italy,6,Roll-on/ roll-off ships,12424.0,48988.0
2018S01,S1   2018,380,Italy,3,Container ships,,
2018S01,S1   2018,380,Italy,1,Passenger ships,,
2018S01,S1   2018,392,Japan,0,All ships,14885.0,402347.0
2018S01,S1   2018,392,Japan,2,Liquid bulk carriers,12672.0,318473.0
2018S01,S1   2018,392,Japan,7,Liquefied petroleum gas carriers,6670.0,58899.0
2018S01,S1   2018,392,Japan,8,Liquefied natural gas carriers,53018.0,130171.0
2018S01,S1   2018,392,Japan,5,Dry bulk carriers,31466.0,402347.0
2018S01,S1   2018,392,Japan,4,Dry breakbulk carriers,8768.0,138743.0
2018S01,S1   2018,392,Japan,6,Roll-on/ roll-off ships,7844.0,43878.0
2018S01,S1   2018,392,Japan,3,Container ships,,
2018S01,S1   2018,392,Japan,1,Passenger ships,,
2018S01,S1   2018,410,"Korea, Republic of",0,All ships,20831.0,327095.0
2018S01,S1   2018,410,"Korea, Republic of",2,Liquid bulk carriers,22686.0,323183.0
2018S01,S1   2018,410,"Korea, Republic of",7,Liquefied petroleum gas carriers,8031.0,58585.0
2018S01,S1   2018,410,"Korea, Republic of",8,Liquefied natural gas carriers,88429.0,155159.0
2018S01,S1   2018,410,"Korea, Republic of",5,Dry bulk carriers,52818.0,327095.0
2018S01,S1   2018,410,"Korea, Republic of",4,Dry breakbulk carriers,8217.0,138743.0
2018S01,S1   2018,410,"Korea, Republic of",6,Roll-on/ roll-off ships,10135.0,39516.0
2018S01,S1   2018,410,"Korea, Republic of",3,Container ships,,
2018S01,S1   2018,410,"Korea, Republic of",1,Passenger ships,,
2018S01,S1   2018,528,Netherlands (Kingdom of the),0,All ships,14058.0,320926.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),2,Liquid bulk carriers,17325.0,320926.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),7,Liquefied petroleum gas carriers,7961.0,58063.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),8,Liquefied natural gas carriers,51694.0,121910.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),5,Dry bulk carriers,65185.0,262000.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),4,Dry breakbulk carriers,5384.0,105302.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),6,Roll-on/ roll-off ships,5949.0,48988.0
2018S01,S1   2018,528,Netherlands (Kingdom of the),3,Container ships,,
2018S01,S1   2018,528,Netherlands (Kingdom of the),1,Passenger ships,,
2018S01,S1   2018,579,Norway,0,All ships,6935.0,209177.0
2018S01,S1   2018,579,Norway,2,Liquid bulk carriers,18588.0,164746.0
2018S01,S1   2018,579,Norway,7,Liquefied petroleum gas carriers,12022.0,55047.0
2018S01,S1   2018,579,Norway,8,Liquefied natural gas carriers,13848.0,84878.0
2018S01,S1   2018,579,Norway,5,Dry bulk carriers,27211.0,209177.0
2018S01,S1   2018,579,Norway,4,Dry breakbulk carriers,3297.0,72148.0
2018S01,S1   2018,579,Norway,6,Roll-on/ roll-off ships,5669.0,15990.0
2018S01,S1   2018,579,Norway,3,Container ships,,
2018S01,S1   2018,579,Norway,1,Passenger ships,,
2018S01,S1   2018,608,Philippines,0,All ships,10413.0,319994.0
2018S01,S1   2018,608,Philippines,2,Liquid bulk carriers,12748.0,319994.0
2018S01,S1   2018,608,Philippines,7,Liquefied petroleum gas carriers,8404.0,55250.0
2018S01,S1   2018,608,Philippines,5,Dry bulk carriers,40502.0,297571.0
2018S01,S1   2018,608,Philippines,4,Dry breakbulk carriers,5435.0,42851.0
2018S01,S1   2018,608,Philippines,6,Roll-on/ roll-off ships,6544.0,22582.0
2018S01,S1   2018,608,Philippines,3,Container ships,,
2018S01,S1   2018,608,Philippines,1,Passenger ships,,
2018S01,S1   2018,643,Russian Federation,0,All ships,15397.0,206010.0
2018S01,S1   2018,643,Russian Federation,2,Liquid bulk carriers,19982.0,166300.0
2018S01,S1   2018,643,Russian Federation,7,Liquefied petroleum gas carriers,13112.0,26798.0
2018S01,S1   2018,643,Russian Federation,8,Liquefied natural gas carriers,79147.0,96958.0
2018S01,S1   2018,643,Russian Federation,5,Dry bulk carriers,44389.0,206010.0
2018S01,S1   2018,643,Russian Federation,4,Dry breakbulk carriers,5130.0,53035.0
2018S01,S1   2018,643,Russian Federation,6,Roll-on/ roll-off ships,5641.0,22910.0
2018S01,S1   2018,643,Russian Federation,3,Container ships,,
2018S01,S1   2018,643,Russian Federation,1,Passenger ships,,
2018S01,S1   2018,702,Singapore,0,All ships,,
2018S01,S1   2018,702,Singapore,2,Liquid bulk carriers,,
2018S01,S1   2018,702,Singapore,7,Liquefied petroleum gas carriers,,
2018S01,S1   2018,702,Singapore,8,Liquefied natural gas carriers,,
2018S01,S1   2018,702,Singapore,5,Dry bulk carriers,,
2018S01,S1   2018,702,Singapore,4,Dry breakbulk carriers,,
2018S01,S1   2018,702,Singapore,6,Roll-on/ roll-off ships,,
2018S01,S1   2018,702,Singapore,3,Container ships,,
2018S01,S1   2018,702,Singapore,1,Passenger ships,,
2018S01,S1   2018,724,Spain,0,All ships,14110.0,209096.0
2018S01,S1   2018,724,Spain,2,Liquid bulk carriers,18132.0,167294.0
2018S01,S1   2018,724,Spain,7,Liquefied petroleum gas carriers,8297.0,58690.0
2018S01,S1   2018,724,Spain,8,Liquefied natural gas carriers,72911.0,107153.0
2018S01,S1   2018,724,Spain,5,Dry bulk carriers,44915.0,209096.0
2018S01,S1   2018,724,Spain,4,Dry breakbulk carriers,7226.0,81279.0
2018S01,S1   2018,724,Spain,6,Roll-on/ roll-off ships,8391.0,48988.0
2018S01,S1   2018,724,Spain,3,Container ships,,
2018S01,S1   2018,724,Spain,1,Passenger ships,,
2018S01,S1   2018,752,Sweden,0,All ships,8634.0,164214.0
2018S01,S1   2018,752,Sweden,2,Liquid bulk carriers,12944.0,164214.0
