Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Average_DWT,Maximum_DWT
2018S02,S2   2018,752,Sweden,4,Dry breakbulk carriers,4937.0,38330.0
2018S02,S2   2018,752,Sweden,6,Roll-on/ roll-off ships,11332.0,31143.0
2018S02,S2   2018,752,Sweden,3,Container ships,,
2018S02,S2   2018,752,Sweden,1,Passenger ships,,
2018S02,S2   2018,792,Türkiye,0,All ships,15252.0,316373.0
2018S02,S2   2018,792,Türkiye,2,Liquid bulk carriers,30039.0,316373.0
2018S02,S2   2018,792,Türkiye,7,Liquefied petroleum gas carriers,22777.0,58677.0
2018S02,S2   2018,792,Türkiye,8,Liquefied natural gas carriers,90432.0,121957.0
2018S02,S2   2018,792,Türkiye,5,Dry bulk carriers,43260.0,182644.0
2018S02,S2   2018,792,Türkiye,4,Dry breakbulk carriers,5524.0,81279.0
2018S02,S2   2018,792,Türkiye,6,Roll-on/ roll-off ships,8912.0,46705.0
2018S02,S2   2018,792,Türkiye,3,Container ships,,
2018S02,S2   2018,792,Türkiye,1,Passenger ships,,
2018S02,S2   2018,926,United Kingdom,0,All ships,12258.0,323183.0
2018S02,S2   2018,926,United Kingdom,2,Liquid bulk carriers,20834.0,323183.0
2018S02,S2   2018,926,United Kingdom,7,Liquefied petroleum gas carriers,7224.0,54684.0
2018S02,S2   2018,926,United Kingdom,8,Liquefied natural gas carriers,72978.0,130442.0
2018S02,S2   2018,926,United Kingdom,5,Dry bulk carriers,45374.0,182342.0
2018S02,S2   2018,926,United Kingdom,4,Dry breakbulk carriers,4540.0,55807.0
2018S02,S2   2018,926,United Kingdom,6,Roll-on/ roll-off ships,10270.0,55828.0
2018S02,S2   2018,926,United Kingdom,3,Container ships,,
2018S02,S2   2018,926,United Kingdom,1,Passenger ships,,
2018S02,S2   2018,842,United States of America,0,All ships,46524.0,321300.0
2018S02,S2   2018,842,United States of America,2,Liquid bulk carriers,62860.0,321300.0
2018S02,S2   2018,842,United States of America,7,Liquefied petroleum gas carriers,34993.0,59138.0
2018S02,S2   2018,842,United States of America,8,Liquefied natural gas carriers,73837.0,97000.0
2018S02,S2   2018,842,United States of America,5,Dry bulk carriers,50652.0,206699.0
2018S02,S2   2018,842,United States of America,4,Dry breakbulk carriers,16146.0,73296.0
2018S02,S2   2018,842,United States of America,6,Roll-on/ roll-off ships,20928.0,55828.0
2018S02,S2   2018,842,United States of America,3,Container ships,,
2018S02,S2   2018,842,United States of America,1,Passenger ships,,
2019S01,S1   2019,0,World,0,All ships,24647.0,404389.0
2019S01,S1   2019,0,World,2,Liquid bulk carriers,27250.0,323183.0
2019S01,S1   2019,0,World,7,Liquefied petroleum gas carriers,11785.0,64220.0
2019S01,S1   2019,0,World,8,Liquefied natural gas carriers,74458.0,155159.0
2019S01,S1   2019,0,World,5,Dry bulk carriers,57520.0,404389.0
2019S01,S1   2019,0,World,4,Dry breakbulk carriers,7490.0,138743.0
2019S01,S1   2019,0,World,6,Roll-on/ roll-off ships,10195.0,55828.0
2019S01,S1   2019,0,World,3,Container ships,,
2019S01,S1   2019,0,World,1,Passenger ships,,
2019S01,S1   2019,36,Australia,0,All ships,78064.0,299688.0
2019S01,S1   2019,36,Australia,2,Liquid bulk carriers,39811.0,165293.0
2019S01,S1   2019,36,Australia,7,Liquefied petroleum gas carriers,14062.0,58899.0
2019S01,S1   2019,36,Australia,8,Liquefied natural gas carriers,84541.0,97730.0
2019S01,S1   2019,36,Australia,5,Dry bulk carriers,110556.0,299688.0
2019S01,S1   2019,36,Australia,4,Dry breakbulk carriers,24802.0,83500.0
2019S01,S1   2019,36,Australia,6,Roll-on/ roll-off ships,15250.0,43878.0
2019S01,S1   2019,36,Australia,3,Container ships,,
2019S01,S1   2019,36,Australia,1,Passenger ships,,
2019S01,S1   2019,124,Canada,0,All ships,35333.0,322861.0
2019S01,S1   2019,124,Canada,2,Liquid bulk carriers,37702.0,322861.0
2019S01,S1   2019,124,Canada,5,Dry bulk carriers,50946.0,210966.0
2019S01,S1   2019,124,Canada,4,Dry breakbulk carriers,13175.0,62841.0
2019S01,S1   2019,124,Canada,6,Roll-on/ roll-off ships,7557.0,55828.0
2019S01,S1   2019,124,Canada,3,Container ships,,
2019S01,S1   2019,124,Canada,1,Passenger ships,,
2019S01,S1   2019,156,China,0,All ships,44509.0,404389.0
2019S01,S1   2019,156,China,2,Liquid bulk carriers,32225.0,323183.0
2019S01,S1   2019,156,China,7,Liquefied petroleum gas carriers,10275.0,58899.0
2019S01,S1   2019,156,China,8,Liquefied natural gas carriers,78972.0,155159.0
2019S01,S1   2019,156,China,5,Dry bulk carriers,74504.0,404389.0
2019S01,S1   2019,156,China,4,Dry breakbulk carriers,14388.0,105302.0
2019S01,S1   2019,156,China,6,Roll-on/ roll-off ships,9475.0,43878.0
2019S01,S1   2019,156,China,3,Container ships,,
2019S01,S1   2019,156,China,1,Passenger ships,,
2019S01,S1   2019,191,Croatia,0,All ships,15540.0,180157.0
2019S01,S1   2019,191,Croatia,2,Liquid bulk carriers,28060.0,165293.0
2019S01,S1   2019,191,Croatia,5,Dry bulk carriers,17441.0,180157.0
2019S01,S1   2019,191,Croatia,4,Dry breakbulk carriers,6320.0,29980.0
2019S01,S1   2019,191,Croatia,3,Container ships,,
2019S01,S1   2019,191,Croatia,1,Passenger ships,,
2019S01,S1   2019,208,Denmark,0,All ships,7945.0,164565.0
2019S01,S1   2019,208,Denmark,2,Liquid bulk carriers,13421.0,164565.0
2019S01,S1   2019,208,Denmark,7,Liquefied petroleum gas carriers,4842.0,24303.0
2019S01,S1   2019,208,Denmark,5,Dry bulk carriers,17276.0,87340.0
2019S01,S1   2019,208,Denmark,4,Dry breakbulk carriers,4179.0,37979.0
2019S01,S1   2019,208,Denmark,6,Roll-on/ roll-off ships,11867.0,24485.0
2019S01,S1   2019,208,Denmark,3,Container ships,,
2019S01,S1   2019,208,Denmark,1,Passenger ships,,
2019S01,S1   2019,251,France,0,All ships,17542.0,322398.0
2019S01,S1   2019,251,France,2,Liquid bulk carriers,20882.0,319398.0
2019S01,S1   2019,251,France,7,Liquefied petroleum gas carriers,9382.0,58899.0
2019S01,S1   2019,251,France,8,Liquefied natural gas carriers,83239.0,154940.0
2019S01,S1   2019,251,France,5,Dry bulk carriers,44819.0,322398.0
2019S01,S1   2019,251,France,4,Dry breakbulk carriers,6340.0,61026.0
2019S01,S1   2019,251,France,6,Roll-on/ roll-off ships,11543.0,46705.0
2019S01,S1   2019,251,France,3,Container ships,,
2019S01,S1   2019,251,France,1,Passenger ships,,
2019S01,S1   2019,276,Germany,0,All ships,8485.0,207219.0
2019S01,S1   2019,276,Germany,2,Liquid bulk carriers,7759.0,163417.0
2019S01,S1   2019,276,Germany,7,Liquefied petroleum gas carriers,6155.0,38427.0
2019S01,S1   2019,276,Germany,5,Dry bulk carriers,53708.0,207219.0
2019S01,S1   2019,276,Germany,4,Dry breakbulk carriers,4858.0,62980.0
2019S01,S1   2019,276,Germany,6,Roll-on/ roll-off ships,11979.0,55828.0
2019S01,S1   2019,276,Germany,3,Container ships,,
2019S01,S1   2019,276,Germany,1,Passenger ships,,
2019S01,S1   2019,300,Greece,0,All ships,7653.0,318325.0
2019S01,S1   2019,300,Greece,2,Liquid bulk carriers,8495.0,318325.0
2019S01,S1   2019,300,Greece,7,Liquefied petroleum gas carriers,5628.0,53293.0
2019S01,S1   2019,300,Greece,8,Liquefied natural gas carriers,78455.0,95785.0
2019S01,S1   2019,300,Greece,5,Dry bulk carriers,11036.0,84867.0
2019S01,S1   2019,300,Greece,4,Dry breakbulk carriers,4009.0,72148.0
2019S01,S1   2019,300,Greece,6,Roll-on/ roll-off ships,8426.0,31143.0
2019S01,S1   2019,300,Greece,3,Container ships,,
2019S01,S1   2019,300,Greece,1,Passenger ships,,
2019S01,S1   2019,360,Indonesia,0,All ships,18329.0,300361.0
2019S01,S1   2019,360,Indonesia,2,Liquid bulk carriers,11976.0,300361.0
2019S01,S1   2019,360,Indonesia,7,Liquefied petroleum gas carriers,10838.0,58811.0
2019S01,S1   2019,360,Indonesia,8,Liquefied natural gas carriers,68750.0,97730.0
2019S01,S1   2019,360,Indonesia,5,Dry bulk carriers,50361.0,226415.0
2019S01,S1   2019,360,Indonesia,4,Dry breakbulk carriers,6792.0,62806.0
2019S01,S1   2019,360,Indonesia,6,Roll-on/ roll-off ships,3926.0,22699.0
2019S01,S1   2019,360,Indonesia,3,Container ships,,
2019S01,S1   2019,360,Indonesia,1,Passenger ships,,
2019S01,S1   2019,380,Italy,0,All ships,18916.0,322398.0
2019S01,S1   2019,380,Italy,2,Liquid bulk carriers,30002.0,319861.0
2019S01,S1   2019,380,Italy,7,Liquefied petroleum gas carriers,9814.0,29191.0
2019S01,S1   2019,380,Italy,5,Dry bulk carriers,39356.0,322398.0
2019S01,S1   2019,380,Italy,4,Dry breakbulk carriers,8410.0,72914.0
2019S01,S1   2019,380,Italy,6,Roll-on/ roll-off ships,12645.0,46705.0
2019S01,S1   2019,380,Italy,3,Container ships,,
2019S01,S1   2019,380,Italy,1,Passenger ships,,
2019S01,S1   2019,392,Japan,0,All ships,15561.0,400000.0
2019S01,S1   2019,392,Japan,2,Liquid bulk carriers,14086.0,323183.0
2019S01,S1   2019,392,Japan,7,Liquefied petroleum gas carriers,7347.0,58811.0
2019S01,S1   2019,392,Japan,8,Liquefied natural gas carriers,55544.0,122052.0
2019S01,S1   2019,392,Japan,5,Dry bulk carriers,31261.0,400000.0
2019S01,S1   2019,392,Japan,4,Dry breakbulk carriers,9770.0,138743.0
2019S01,S1   2019,392,Japan,6,Roll-on/ roll-off ships,7724.0,43878.0
2019S01,S1   2019,392,Japan,3,Container ships,,
2019S01,S1   2019,392,Japan,1,Passenger ships,,
2019S01,S1   2019,410,"Korea, Republic of",0,All ships,21434.0,327095.0
2019S01,S1   2019,410,"Korea, Republic of",2,Liquid bulk carriers,23753.0,321050.0
2019S01,S1   2019,410,"Korea, Republic of",7,Liquefied petroleum gas carriers,7391.0,58757.0
2019S01,S1   2019,410,"Korea, Republic of",8,Liquefied natural gas carriers,88643.0,155159.0
2019S01,S1   2019,410,"Korea, Republic of",5,Dry bulk carriers,50660.0,327095.0
2019S01,S1   2019,410,"Korea, Republic of",4,Dry breakbulk carriers,7832.0,138743.0
2019S01,S1   2019,410,"Korea, Republic of",6,Roll-on/ roll-off ships,10721.0,43878.0
2019S01,S1   2019,410,"Korea, Republic of",3,Container ships,,
2019S01,S1   2019,410,"Korea, Republic of",1,Passenger ships,,
2019S01,S1   2019,528,Netherlands (Kingdom of the),0,All ships,14585.0,322861.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),2,Liquid bulk carriers,18230.0,322861.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),7,Liquefied petroleum gas carriers,8024.0,58690.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),8,Liquefied natural gas carriers,49482.0,97730.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),5,Dry bulk carriers,65442.0,300660.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),4,Dry breakbulk carriers,5211.0,116173.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),6,Roll-on/ roll-off ships,6089.0,48988.0
2019S01,S1   2019,528,Netherlands (Kingdom of the),3,Container ships,,
2019S01,S1   2019,528,Netherlands (Kingdom of the),1,Passenger ships,,
2019S01,S1   2019,579,Norway,0,All ships,6922.0,209200.0
2019S01,S1   2019,579,Norway,2,Liquid bulk carriers,18290.0,159513.0
2019S01,S1   2019,579,Norway,7,Liquefied petroleum gas carriers,12088.0,55047.0
2019S01,S1   2019,579,Norway,8,Liquefied natural gas carriers,14110.0,95785.0
2019S01,S1   2019,579,Norway,5,Dry bulk carriers,30601.0,209200.0
2019S01,S1   2019,579,Norway,4,Dry breakbulk carriers,3327.0,72562.0
2019S01,S1   2019,579,Norway,6,Roll-on/ roll-off ships,6096.0,21500.0
2019S01,S1   2019,579,Norway,3,Container ships,,
2019S01,S1   2019,579,Norway,1,Passenger ships,,
2019S01,S1   2019,608,Philippines,0,All ships,11197.0,318778.0
2019S01,S1   2019,608,Philippines,2,Liquid bulk carriers,11739.0,318778.0
2019S01,S1   2019,608,Philippines,7,Liquefied petroleum gas carriers,7805.0,58560.0
2019S01,S1   2019,608,Philippines,5,Dry bulk carriers,40231.0,297442.0
2019S01,S1   2019,608,Philippines,4,Dry breakbulk carriers,5677.0,60361.0
2019S01,S1   2019,608,Philippines,6,Roll-on/ roll-off ships,6873.0,32441.0
2019S01,S1   2019,608,Philippines,3,Container ships,,
2019S01,S1   2019,608,Philippines,1,Passenger ships,,
2019S01,S1   2019,643,Russian Federation,0,All ships,19079.0,206960.0
2019S01,S1   2019,643,Russian Federation,2,Liquid bulk carriers,25884.0,166468.0
2019S01,S1   2019,643,Russian Federation,7,Liquefied petroleum gas carriers,11998.0,23495.0
2019S01,S1   2019,643,Russian Federation,8,Liquefied natural gas carriers,75594.0,96958.0
2019S01,S1   2019,643,Russian Federation,5,Dry bulk carriers,45238.0,206960.0
2019S01,S1   2019,643,Russian Federation,4,Dry breakbulk carriers,5228.0,80500.0
2019S01,S1   2019,643,Russian Federation,6,Roll-on/ roll-off ships,5606.0,22910.0
2019S01,S1   2019,643,Russian Federation,3,Container ships,,
2019S01,S1   2019,643,Russian Federation,1,Passenger ships,,
2019S01,S1   2019,702,Singapore,0,All ships,,
2019S01,S1   2019,702,Singapore,2,Liquid bulk carriers,,
2019S01,S1   2019,702,Singapore,7,Liquefied petroleum gas carriers,,
2019S01,S1   2019,702,Singapore,8,Liquefied natural gas carriers,,
2019S01,S1   2019,702,Singapore,5,Dry bulk carriers,,
2019S01,S1   2019,702,Singapore,4,Dry breakbulk carriers,,
2019S01,S1   2019,702,Singapore,6,Roll-on/ roll-off ships,,
2019S01,S1   2019,702,Singapore,3,Container ships,,
2019S01,S1   2019,702,Singapore,1,Passenger ships,,
2019S01,S1   2019,724,Spain,0,All ships,13776.0,313049.0
2019S01,S1   2019,724,Spain,2,Liquid bulk carriers,18097.0,167294.0
2019S01,S1   2019,724,Spain,7,Liquefied petroleum gas carriers,9446.0,55209.0
2019S01,S1   2019,724,Spain,8,Liquefied natural gas carriers,68982.0,130208.0
2019S01,S1   2019,724,Spain,5,Dry bulk carriers,39988.0,313049.0
2019S01,S1   2019,724,Spain,4,Dry breakbulk carriers,7084.0,81279.0
2019S01,S1   2019,724,Spain,6,Roll-on/ roll-off ships,7610.0,48988.0
2019S01,S1   2019,724,Spain,3,Container ships,,
2019S01,S1   2019,724,Spain,1,Passenger ships,,
2019S01,S1   2019,752,Sweden,0,All ships,9371.0,162397.0
2019S01,S1   2019,752,Sweden,2,Liquid bulk carriers,13023.0,162397.0
2019S01,S1   2019,752,Sweden,7,Liquefied petroleum gas carriers,8287.0,54555.0
2019S01,S1   2019,752,Sweden,5,Dry bulk carriers,18515.0,82139.0
2019S01,S1   2019,752,Sweden,4,Dry breakbulk carriers,5285.0,56023.0
2019S01,S1   2019,752,Sweden,6,Roll-on/ roll-off ships,11540.0,39516.0
2019S01,S1   2019,752,Sweden,3,Container ships,,
2019S01,S1   2019,752,Sweden,1,Passenger ships,,
2019S01,S1   2019,792,Türkiye,0,All ships,15797.0,319616.0
2019S01,S1   2019,792,Türkiye,2,Liquid bulk carriers,32337.0,319616.0
2019S01,S1   2019,792,Türkiye,7,Liquefied petroleum gas carriers,21194.0,55115.0
2019S01,S1   2019,792,Türkiye,8,Liquefied natural gas carriers,89371.0,122006.0
2019S01,S1   2019,792,Türkiye,5,Dry bulk carriers,42046.0,183123.0
2019S01,S1   2019,792,Türkiye,4,Dry breakbulk carriers,5612.0,62942.0
2019S01,S1   2019,792,Türkiye,6,Roll-on/ roll-off ships,8461.0,46704.0
2019S01,S1   2019,792,Türkiye,3,Container ships,,
2019S01,S1   2019,792,Türkiye,1,Passenger ships,,
2019S01,S1   2019,926,United Kingdom,0,All ships,12722.0,319994.0
2019S01,S1   2019,926,United Kingdom,2,Liquid bulk carriers,20588.0,319994.0
2019S01,S1   2019,926,United Kingdom,7,Liquefied petroleum gas carriers,7173.0,54361.0
2019S01,S1   2019,926,United Kingdom,8,Liquefied natural gas carriers,90834.0,155159.0
2019S01,S1   2019,926,United Kingdom,5,Dry bulk carriers,45816.0,182618.0
2019S01,S1   2019,926,United Kingdom,4,Dry breakbulk carriers,4497.0,56816.0
2019S01,S1   2019,926,United Kingdom,6,Roll-on/ roll-off ships,10233.0,55828.0
2019S01,S1   2019,926,United Kingdom,3,Container ships,,
2019S01,S1   2019,926,United Kingdom,1,Passenger ships,,
2019S01,S1   2019,842,United States of America,0,All ships,47024.0,322829.0
2019S01,S1   2019,842,United States of America,2,Liquid bulk carriers,61993.0,322829.0
2019S01,S1   2019,842,United States of America,7,Liquefied petroleum gas carriers,35200.0,59138.0
2019S01,S1   2019,842,United States of America,8,Liquefied natural gas carriers,77326.0,121963.0
2019S01,S1   2019,842,United States of America,5,Dry bulk carriers,51995.0,207219.0
2019S01,S1   2019,842,United States of America,4,Dry breakbulk carriers,15914.0,73296.0
2019S01,S1   2019,842,United States of America,6,Roll-on/ roll-off ships,21020.0,55828.0
2019S01,S1   2019,842,United States of America,3,Container ships,,
2019S01,S1   2019,842,United States of America,1,Passenger ships,,
2019S02,S2   2019,0,World,0,All ships,24513.0,441585.0
2019S02,S2   2019,0,World,2,Liquid bulk carriers,27322.0,441585.0
2019S02,S2   2019,0,World,7,Liquefied petroleum gas carriers,11480.0,64220.0
2019S02,S2   2019,0,World,8,Liquefied natural gas carriers,73784.0,156000.0
2019S02,S2   2019,0,World,5,Dry bulk carriers,57012.0,404389.0
2019S02,S2   2019,0,World,4,Dry breakbulk carriers,7505.0,138743.0
2019S02,S2   2019,0,World,6,Roll-on/ roll-off ships,10011.0,55828.0
2019S02,S2   2019,0,World,3,Container ships,,
2019S02,S2   2019,0,World,1,Passenger ships,,
2019S02,S2   2019,36,Australia,0,All ships,79711.0,299688.0
2019S02,S2   2019,36,Australia,2,Liquid bulk carriers,42567.0,297085.0
2019S02,S2   2019,36,Australia,7,Liquefied petroleum gas carriers,16730.0,55134.0
2019S02,S2   2019,36,Australia,8,Liquefied natural gas carriers,84708.0,97955.0
2019S02,S2   2019,36,Australia,5,Dry bulk carriers,111221.0,299688.0
2019S02,S2   2019,36,Australia,4,Dry breakbulk carriers,24444.0,80500.0
2019S02,S2   2019,36,Australia,6,Roll-on/ roll-off ships,15119.0,43878.0
2019S02,S2   2019,36,Australia,3,Container ships,,
2019S02,S2   2019,36,Australia,1,Passenger ships,,
2019S02,S2   2019,124,Canada,0,All ships,34352.0,321300.0
2019S02,S2   2019,124,Canada,2,Liquid bulk carriers,35102.0,321300.0
2019S02,S2   2019,124,Canada,7,Liquefied petroleum gas carriers,50572.0,58757.0
2019S02,S2   2019,124,Canada,5,Dry bulk carriers,46142.0,209988.0
2019S02,S2   2019,124,Canada,4,Dry breakbulk carriers,16484.0,55531.0
2019S02,S2   2019,124,Canada,6,Roll-on/ roll-off ships,6277.0,55828.0
2019S02,S2   2019,124,Canada,3,Container ships,,
2019S02,S2   2019,124,Canada,1,Passenger ships,,
2019S02,S2   2019,156,China,0,All ships,45529.0,404389.0
2019S02,S2   2019,156,China,2,Liquid bulk carriers,35963.0,323183.0
2019S02,S2   2019,156,China,7,Liquefied petroleum gas carriers,8914.0,64220.0
2019S02,S2   2019,156,China,8,Liquefied natural gas carriers,75851.0,155159.0
2019S02,S2   2019,156,China,5,Dry bulk carriers,76729.0,404389.0
2019S02,S2   2019,156,China,4,Dry breakbulk carriers,14323.0,138743.0
2019S02,S2   2019,156,China,6,Roll-on/ roll-off ships,9472.0,43878.0
2019S02,S2   2019,156,China,3,Container ships,,
2019S02,S2   2019,156,China,1,Passenger ships,,
2019S02,S2   2019,191,Croatia,0,All ships,15500.0,159092.0
2019S02,S2   2019,191,Croatia,2,Liquid bulk carriers,27318.0,159092.0
2019S02,S2   2019,191,Croatia,5,Dry bulk carriers,12809.0,93237.0
2019S02,S2   2019,191,Croatia,4,Dry breakbulk carriers,6232.0,29901.0
2019S02,S2   2019,191,Croatia,3,Container ships,,
2019S02,S2   2019,191,Croatia,1,Passenger ships,,
2019S02,S2   2019,208,Denmark,0,All ships,7602.0,158622.0
2019S02,S2   2019,208,Denmark,2,Liquid bulk carriers,13447.0,158622.0
2019S02,S2   2019,208,Denmark,7,Liquefied petroleum gas carriers,6616.0,24286.0
2019S02,S2   2019,208,Denmark,5,Dry bulk carriers,12570.0,95263.0
2019S02,S2   2019,208,Denmark,4,Dry breakbulk carriers,4207.0,37994.0
2019S02,S2   2019,208,Denmark,6,Roll-on/ roll-off ships,12435.0,24485.0
2019S02,S2   2019,208,Denmark,3,Container ships,,
2019S02,S2   2019,208,Denmark,1,Passenger ships,,
2019S02,S2   2019,251,France,0,All ships,17174.0,320805.0
2019S02,S2   2019,251,France,2,Liquid bulk carriers,20723.0,320805.0
2019S02,S2   2019,251,France,7,Liquefied petroleum gas carriers,10336.0,54592.0
2019S02,S2   2019,251,France,8,Liquefied natural gas carriers,79618.0,156000.0
2019S02,S2   2019,251,France,5,Dry bulk carriers,46798.0,183026.0
2019S02,S2   2019,251,France,4,Dry breakbulk carriers,6401.0,73296.0
2019S02,S2   2019,251,France,6,Roll-on/ roll-off ships,10967.0,46705.0
2019S02,S2   2019,251,France,3,Container ships,,
2019S02,S2   2019,251,France,1,Passenger ships,,
2019S02,S2   2019,276,Germany,0,All ships,8260.0,299546.0
2019S02,S2   2019,276,Germany,2,Liquid bulk carriers,8078.0,299546.0
2019S02,S2   2019,276,Germany,7,Liquefied petroleum gas carriers,5263.0,28735.0
2019S02,S2   2019,276,Germany,5,Dry bulk carriers,49303.0,206118.0
2019S02,S2   2019,276,Germany,4,Dry breakbulk carriers,4799.0,62924.0
2019S02,S2   2019,276,Germany,6,Roll-on/ roll-off ships,11177.0,55828.0
2019S02,S2   2019,276,Germany,3,Container ships,,
2019S02,S2   2019,276,Germany,1,Passenger ships,,
2019S02,S2   2019,300,Greece,0,All ships,7247.0,166739.0
2019S02,S2   2019,300,Greece,2,Liquid bulk carriers,8088.0,166739.0
2019S02,S2   2019,300,Greece,7,Liquefied petroleum gas carriers,5779.0,26416.0
2019S02,S2   2019,300,Greece,8,Liquefied natural gas carriers,84566.0,122006.0
2019S02,S2   2019,300,Greece,5,Dry bulk carriers,9390.0,82165.0
2019S02,S2   2019,300,Greece,4,Dry breakbulk carriers,3956.0,33367.0
2019S02,S2   2019,300,Greece,6,Roll-on/ roll-off ships,7228.0,48988.0
2019S02,S2   2019,300,Greece,3,Container ships,,
2019S02,S2   2019,300,Greece,1,Passenger ships,,
2019S02,S2   2019,360,Indonesia,0,All ships,15902.0,319869.0
2019S02,S2   2019,360,Indonesia,2,Liquid bulk carriers,12986.0,319869.0
2019S02,S2   2019,360,Indonesia,7,Liquefied petroleum gas carriers,10225.0,58757.0
2019S02,S2   2019,360,Indonesia,8,Liquefied natural gas carriers,68699.0,91515.0
2019S02,S2   2019,360,Indonesia,5,Dry bulk carriers,42371.0,209325.0
2019S02,S2   2019,360,Indonesia,4,Dry breakbulk carriers,6506.0,72562.0
2019S02,S2   2019,360,Indonesia,6,Roll-on/ roll-off ships,4068.0,21420.0
2019S02,S2   2019,360,Indonesia,3,Container ships,,
2019S02,S2   2019,360,Indonesia,1,Passenger ships,,
2019S02,S2   2019,380,Italy,0,All ships,18138.0,181010.0
2019S02,S2   2019,380,Italy,2,Liquid bulk carriers,27101.0,166739.0
2019S02,S2   2019,380,Italy,7,Liquefied petroleum gas carriers,9459.0,28100.0
2019S02,S2   2019,380,Italy,5,Dry bulk carriers,38898.0,181010.0
2019S02,S2   2019,380,Italy,4,Dry breakbulk carriers,8160.0,62980.0
2019S02,S2   2019,380,Italy,6,Roll-on/ roll-off ships,12410.0,46705.0
2019S02,S2   2019,380,Italy,3,Container ships,,
2019S02,S2   2019,380,Italy,1,Passenger ships,,
2019S02,S2   2019,392,Japan,0,All ships,15290.0,400000.0
2019S02,S2   2019,392,Japan,2,Liquid bulk carriers,14194.0,320701.0
2019S02,S2   2019,392,Japan,7,Liquefied petroleum gas carriers,6401.0,58757.0
2019S02,S2   2019,392,Japan,8,Liquefied natural gas carriers,53364.0,121939.0
2019S02,S2   2019,392,Japan,5,Dry bulk carriers,29801.0,400000.0
2019S02,S2   2019,392,Japan,4,Dry breakbulk carriers,9637.0,138743.0
2019S02,S2   2019,392,Japan,6,Roll-on/ roll-off ships,7560.0,43878.0
2019S02,S2   2019,392,Japan,3,Container ships,,
2019S02,S2   2019,392,Japan,1,Passenger ships,,
2019S02,S2   2019,410,"Korea, Republic of",0,All ships,22396.0,326932.0
2019S02,S2   2019,410,"Korea, Republic of",2,Liquid bulk carriers,24754.0,323183.0
2019S02,S2   2019,410,"Korea, Republic of",7,Liquefied petroleum gas carriers,8678.0,58899.0
2019S02,S2   2019,410,"Korea, Republic of",8,Liquefied natural gas carriers,86187.0,156000.0
2019S02,S2   2019,410,"Korea, Republic of",5,Dry bulk carriers,52161.0,326932.0
2019S02,S2   2019,410,"Korea, Republic of",4,Dry breakbulk carriers,7994.0,138743.0
2019S02,S2   2019,410,"Korea, Republic of",6,Roll-on/ roll-off ships,11886.0,43878.0
2019S02,S2   2019,410,"Korea, Republic of",3,Container ships,,
2019S02,S2   2019,410,"Korea, Republic of",1,Passenger ships,,
2019S02,S2   2019,528,Netherlands (Kingdom of the),0,All ships,14656.0,320926.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),2,Liquid bulk carriers,18828.0,320926.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),7,Liquefied petroleum gas carriers,7316.0,58448.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),8,Liquefied natural gas carriers,51298.0,106896.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),5,Dry bulk carriers,64286.0,233584.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),4,Dry breakbulk carriers,5355.0,73296.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),6,Roll-on/ roll-off ships,6624.0,48988.0
2019S02,S2   2019,528,Netherlands (Kingdom of the),3,Container ships,,
2019S02,S2   2019,528,Netherlands (Kingdom of the),1,Passenger ships,,
2019S02,S2   2019,579,Norway,0,All ships,6992.0,320805.0
2019S02,S2   2019,579,Norway,2,Liquid bulk carriers,18387.0,320805.0
2019S02,S2   2019,579,Norway,7,Liquefied petroleum gas carriers,12150.0,54561.0
2019S02,S2   2019,579,Norway,8,Liquefied natural gas carriers,12584.0,96811.0
2019S02,S2   2019,579,Norway,5,Dry bulk carriers,27199.0,211081.0
2019S02,S2   2019,579,Norway,4,Dry breakbulk carriers,3319.0,55807.0
2019S02,S2   2019,579,Norway,6,Roll-on/ roll-off ships,5926.0,20589.0
2019S02,S2   2019,579,Norway,3,Container ships,,
2019S02,S2   2019,579,Norway,1,Passenger ships,,
2019S02,S2   2019,608,Philippines,0,All ships,11693.0,336634.0
2019S02,S2   2019,608,Philippines,2,Liquid bulk carriers,11173.0,320785.0
2019S02,S2   2019,608,Philippines,7,Liquefied petroleum gas carriers,6292.0,57748.0
2019S02,S2   2019,608,Philippines,5,Dry bulk carriers,45654.0,336634.0
2019S02,S2   2019,608,Philippines,4,Dry breakbulk carriers,5504.0,49099.0
2019S02,S2   2019,608,Philippines,6,Roll-on/ roll-off ships,8224.0,27003.0
2019S02,S2   2019,608,Philippines,3,Container ships,,
2019S02,S2   2019,608,Philippines,1,Passenger ships,,
2019S02,S2   2019,643,Russian Federation,0,All ships,15029.0,182000.0
2019S02,S2   2019,643,Russian Federation,2,Liquid bulk carriers,19934.0,167295.0
