Month,Panamax_BPI_ML_Forecast,Capesize_BCI_ML_Forecast,VLSFO_USD_per_tonne,BPI_MoM_Change_pct,BCI_MoM_Change_pct,Panamax_Market_Signal,Capesize_Market_Signal,Bunker_Risk,Bunker_MoM_Change_pct,Bunker_Trend
2025-04-01,1199.2209055548897,2332.7219635832166,530.9090909090909,,,BASELINE / NO PRIOR MONTH,BASELINE / NO PRIOR MONTH,MEDIUM,,BASELINE
2025-05-01,1221.6412370965445,1896.6986751485083,529.4318181818181,1.8695747745725688,-18.691609854993064,STABLE / NEUTRAL,FAVORABLE ENTRY SIGNAL,MEDIUM,-0.27825342465753744,FALLING
2025-06-01,1256.695667953525,2007.1500424331027,554.6764705882352,2.869453796459398,5.823348153915187,STABLE / NEUTRAL,RISING FREIGHT / WAIT,HIGH,4.768253727762839,RISING
2025-07-01,1298.431672529056,1817.644204587501,552.8260869565217,3.3210908288954677,-9.441538192923504,RISING FREIGHT / WAIT,FAVORABLE ENTRY SIGNAL,HIGH,-0.3335969217787782,FALLING
2025-08-01,1306.943177418323,1613.453484426301,534.4047619047619,0.6555219708010318,-11.233811306186814,STABLE / NEUTRAL,FAVORABLE ENTRY SIGNAL,HIGH,-3.3322098009475054,FALLING
2025-09-01,1300.6152108306335,1657.2161761800594,523.1190476190476,-0.48418069714321055,2.712361538536645,STABLE / NEUTRAL,STABLE / NEUTRAL,MEDIUM,-2.1118289151258685,FALLING
2025-10-01,1285.3558484076418,1705.6810752125257,,-1.1732418855263327,2.924476584833946,STABLE / NEUTRAL,STABLE / NEUTRAL,UNKNOWN,0.0,STABLE
2025-11-01,1221.5276711087802,1720.045323809641,486.27777777777777,-4.965798177830283,0.842141523750306,FAVORABLE ENTRY SIGNAL,STABLE / NEUTRAL,LOW,-7.04261678272875,FALLING
2025-12-01,1165.5563134028423,1737.2880572588858,464.2173913043478,-4.582078575029957,1.0024580870377608,FAVORABLE ENTRY SIGNAL,STABLE / NEUTRAL,LOW,-4.536581246678162,FALLING
2026-01-01,1144.924229881514,1774.6257144808503,475.8181818181818,-1.770149008166999,2.149192073586015,STABLE / NEUTRAL,STABLE / NEUTRAL,LOW,2.4989995487326278,RISING
2026-02-01,1095.333286281718,1787.5773561609642,518.375,-4.331373404939476,0.7298238481742381,FAVORABLE ENTRY SIGNAL,STABLE / NEUTRAL,LOW,8.943924340848298,RISING
2026-03-01,1076.4048460431495,1786.7909880281138,911.25,-1.7280986961351386,-0.04399071906678875,STABLE / NEUTRAL,STABLE / NEUTRAL,HIGH,75.78972751386543,RAPIDLY RISING
